EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-0.9773983419003018,0.0280423469934187,0.06309695710864402,-0.6063135318257306,-0.008889501028342559,0.12572371875177904,-0.1864410036243178
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.3056087803809997,-0.8099670858836819,0.5328082765915919,-0.04774991710863871,-0.023314454347269562,0.8500076913405412,-1.029153753280892
1,AGUASCALIENTES,9,TEPEZALA,-2.7037111233317352,-0.6204900425112232,0.5423204255435676,0.06836390671499007,-0.05703129592040102,0.809700074120782,-0.7033134798576062
1,AGUASCALIENTES,11,EL LLANO,-2.5155905327066104,-0.4531196500941767,0.09847090461084752,0.009010000332530108,0.012803843291366667,0.5482834798296461,-0.12445974924817131
1,AGUASCALIENTES,2,ASIENTOS,-2.5267157212833853,-0.5027146934217225,0.5279815224756519,0.6368607619758888,0.018322680974343687,0.718381775790999,-0.4912476536274017
1,AGUASCALIENTES,3,CALVILLO,-2.5398452562880305,0.0762057408219881,0.3442963972831732,0.5158336539968734,-0.12911687949876083,0.7428200564458051,-0.09088745309863183
1,AGUASCALIENTES,4,COSIO,-2.675901845134522,-0.7993797519677166,0.601344819398383,-0.20819899569833464,-0.0021477529507824555,0.6173038989667692,-0.4181535867204278
1,AGUASCALIENTES,5,JESUS MARIA,-2.513782025980134,-0.0391690270200707,0.6043933503531524,-0.09027289624246615,0.3081618967652833,0.5642982651782393,-0.7338038945289949
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-2.859591765831596,0.00041939205340365946,0.667834398113913,-0.5669833768166562,-0.30714625452748046,0.6882098773534543,-0.6153972017171173
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.8663802013973725,-0.2866634245751778,0.6369817886493403,-0.14527281964926705,-0.039955106597738675,0.8573585169517658,-0.670599523514839
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.7114184681983957,2.980119383494164,3.054157292437501,0.3535440083095085,3.7611751924402244,0.09631916164813503,-0.46352429530715966
2,BAJA CALIFORNIA,2,MEXICALI,-2.644289129960417,4.632591430098666,3.1023850220492983,3.0944985429284206,4.001238458562116,0.2994720323355013,-0.6093628055536383
2,BAJA CALIFORNIA,4,TIJUANA,-2.6195158986540106,7.359593075584714,6.014883825147433,2.2586905563234563,8.53502918467799,-0.4006866220566905,-0.6144346209917161
2,BAJA CALIFORNIA,3,TECATE,-2.2639842175341722,-0.6589924568176396,0.846390796379208,0.20201869694272062,0.6491352072764642,0.6735210516196469,0.2259799891623434
2,BAJA CALIFORNIA,1,ENSENADA,-2.630064096940358,2.5045797282712368,1.9115536260096802,2.5560335184618888,1.4297017546446424,0.5748449543697176,-0.573841512373985
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,-2.1158688720331877,-0.633281932297563,1.197648131376883,0.06871693555073694,0.6195202776523888,0.6303483357170073,-0.4468094334922533
3,BAJA CALIFORNIA SUR,1,COMONDU,0.45204968246022903,1.061740383143405,-0.6051729938579119,0.9675289692108298,-0.3463740443010415,-0.03753512786563266,0.008567046887339688
3,BAJA CALIFORNIA SUR,3,LA PAZ,0.02820656401586029,2.2605988803993324,-0.25974115224247546,1.0890534496343314,0.489220473299547,0.03211284032185173,0.05991950720871046
3,BAJA CALIFORNIA SUR,5,LORETO,0.07099387177174639,-0.00396275131792723,-0.2580035931802787,-0.48274221201019674,-0.16852498939948332,-0.3781381933254671,0.2648739521407045
3,BAJA CALIFORNIA SUR,4,LOS CABOS,0.8542897272674286,1.447372116150602,0.05021127283419412,0.052869197174873754,1.2687041777749235,0.2795396785784347,-0.02653799394654565
3,BAJA CALIFORNIA SUR,2,MULEGE,1.1269096294855065,0.26940234729717827,-0.2994057186002103,0.8740721783295965,-0.10031898190328511,-0.23719520076208692,0.0014540113002179768
4,CAMPECHE,8,TENABO,0.22778855773727633,0.12008850633246916,-0.9659855394212581,-0.5532367476261411,0.13117439376231427,0.10632316006727591,0.03807205059978928
4,CAMPECHE,9,ESCARCEGA,0.4138985601519577,0.41727218144884815,-0.2613616439303425,0.5014574517282414,-0.24992562238011964,-0.5610269983267613,0.008078201895172835
4,CAMPECHE,5,HECELCHAKAN,0.14260810767373935,0.30861967213936026,-0.8500094690424602,-0.3322651776342831,0.06263589431226882,-0.040494657632690945,0.06195690187084155
4,CAMPECHE,6,HOPELCHEN,-0.023909380219947516,0.8356949565625271,-0.6599340639211865,0.8155416905597478,-0.49342332753050905,-0.13724246154979847,0.14425599086335417
4,CAMPECHE,11,CALAKMUL,-1.7043799182366486,0.7840056354306074,-0.6719080519202316,0.23795172669016623,-0.5822254818743174,-0.4661953705098469,0.08136845503391409
4,CAMPECHE,7,PALIZADA,-0.3921817480563714,-0.17007944195137803,-0.1970455484083423,0.20138739906161746,-0.2942780915709281,-0.7542986879871478,0.24419642222270554
4,CAMPECHE,10,CANDELARIA,0.007617733516234431,0.9337692822424809,-0.5854132091052415,1.0834341379981356,-0.6271870082911412,-0.47224463993382493,0.08571050134358159
4,CAMPECHE,4,CHAMPOTON,-0.023107960211096817,1.3546944635355551,-0.5981276094176139,0.8504729999123385,-0.44354150104382245,-0.16276947138324044,0.04735523637516084
4,CAMPECHE,2,CALKINI,-0.019117134556437057,0.4959779890075425,-0.6780990393595729,0.02686674019810517,-0.012468794464523524,-0.309115093191773,0.13882604023614892
4,CAMPECHE,1,CAMPECHE,-0.45673318828418574,2.179736588968977,-0.05903968194183026,0.47822372256855,0.44948735742353013,-0.2849275281509424,0.11153470747174979
4,CAMPECHE,3,CARMEN,-0.5888024140572459,2.0734350818571,0.11791518806163431,0.623780997085835,0.023536666398586755,-0.6110042221695596,0.14658841689356475
5,COAHUILA,13,HIDALGO,-0.4148683603777475,-1.628313144605674,0.737911950208568,0.44233653733826195,0.10100029141582599,-1.1726853391071703,-0.8296757973092641
5,COAHUILA,2,ACUÐA,1.0383085747452945,0.48724938719625904,0.03924989791843536,-0.7366537581940898,0.752186566341578,0.2253670912988228,-0.0350230054990675
5,COAHUILA,14,JIMENEZ,0.8848642651491424,-0.1131727211059393,-0.7325852978645052,-0.1246395030404917,0.13542532526610257,0.03250155896198875,-0.13991816735153925
5,COAHUILA,31,SAN BUENAVENTURA,0.5345145151324667,-0.44100589803288615,-0.08006170204946848,-0.12014335339302779,0.007666699426980642,-0.9557748259236445,0.013753371958624278
5,COAHUILA,24,PARRAS,-0.7597096096449658,0.6031135368454342,-0.6133084665596031,0.4379372558737016,-0.37785929673740576,-0.9479078208007208,0.19644950593138522
5,COAHUILA,38,ZARAGOZA,0.6394544475458723,-0.2791038233504953,-0.42933899536474546,-0.07609270003135069,0.05062089996332358,-0.44362792739891144,0.01186761973065076
5,COAHUILA,30,SALTILLO,0.5722901156046281,4.395123534247532,1.247959023160991,2.086553912155812,2.802710543831437,-0.0697842605780239,-0.04480188864702632
5,COAHUILA,23,OCAMPO,-0.043727637832024,-1.3252919702760873,1.0572371254786765,1.3778377379109532,-0.551122214850307,-2.8790429276470673,0.08372963513379957
5,COAHUILA,34,SIERRA MOJADA,1.3522105882366122,-3.2956830375450843,3.205372469952521,2.310215783583735,-0.570831570559083,-4.417036091448358,-0.03711128544621989
5,COAHUILA,36,VIESCA,-0.5055511564387363,0.7526249256894698,-0.7671627521779277,0.4023874633863278,-0.5511823926840566,-0.4743498359626777,0.1606775027023238
5,COAHUILA,17,MATAMOROS,0.004299863241463267,1.5874375335474296,-0.3387570765965169,1.129102711548099,-0.5790367691431009,-0.2590516821292069,-0.02087053365637488
5,COAHUILA,25,PIEDRAS NEGRAS,0.6182047978617626,0.6524206017669415,-0.17748469776462356,-0.5614766706353322,0.8611891936838032,0.08749041804561496,0.02312849967597169
5,COAHUILA,9,FRANCISCO I. MADERO,0.1360224987994932,1.0865271936847005,-0.607503315190887,0.8707960741859437,-0.5207909221221223,-0.16341726268772358,-0.042855727769717036
5,COAHUILA,27,RAMOS ARIZPE,2.368144325966979,0.7459087598441442,-0.1952664580972476,1.3036847996163723,-0.01911104876968104,0.6574668009849878,-0.4130481909460468
5,COAHUILA,35,TORREON,-0.17519306864261586,2.933709787235751,1.292255675148298,-0.2939817590513244,2.9506639354075976,-0.6355488141006214,0.11013725212899424
5,COAHUILA,1,ABASOLO,1.9438268587425727,-1.7663610215282022,0.7309720997567267,0.690787181280998,0.20559766134185328,-1.4197346433900686,0.156678645511078
5,COAHUILA,5,CANDELA,-0.1439118747804093,-0.5512799949945781,-0.46988377537992404,-0.28884145650631754,0.06603480757119645,-1.0215346807754613,-0.004469086517716741
5,COAHUILA,11,GENERAL CEPEDA,3.514329129229624,-0.14216802643883225,-0.09181024526922045,0.8005441198573067,-0.034968039030632586,1.0247267165212368,-0.6742939137571903
5,COAHUILA,12,GUERRERO,-1.1897899488308723,-0.5903648065762814,-0.3498639314249521,-0.09148892935487749,-0.003973329727995604,-0.921752976294933,-0.31744923637680844
5,COAHUILA,16,LAMADRID,0.9546606887513646,-1.0363665821199586,0.016963218771016832,0.03293087634058617,0.14866975274697156,-1.0962720700725805,-0.07875325537785191
5,COAHUILA,26,PROGRESO,0.34474018899123543,-0.8214076649132217,-0.08714796102351625,0.055324343817142185,0.04298199188280193,-1.1012629007457664,0.04927474633444842
5,COAHUILA,33,SAN PEDRO,-0.27880775575396793,2.1591387103433592,-0.6739526631465387,1.8784196310325205,-0.9941201551321153,-0.09587136329269767,0.04206491298279088
5,COAHUILA,6,CASTAÐOS,1.0279409568105442,-0.2570652091312999,-0.03495550756361301,0.6972774339501933,-0.12889102733110838,-0.5362361503779712,0.115358365414436
5,COAHUILA,18,MONCLOVA,0.04596903674283383,0.8778429744435253,-0.032090630634154044,-0.6546932269097506,1.0744231791442356,-0.2901139416031099,0.14567161969196843
5,COAHUILA,7,CUATROCIENEGAS,-0.297646676587425,-0.20029331883822965,-0.08295446101967022,0.27064155594831707,-0.40603970585761445,-1.4302961066570388,0.2824968517848442
5,COAHUILA,4,ARTEAGA,1.8466113543432419,0.3000753681961823,-0.6980488625134074,0.9546932210690706,-0.0911172252365809,0.4235381920456952,-0.4254516063943266
5,COAHUILA,28,SABINAS,0.978354348047208,0.03218492356064055,-0.38512402140887353,-0.39654641171491756,0.41019069867119456,0.08239969418422242,6.168488278173314e-05
5,COAHUILA,15,JUAREZ,0.6259247555069579,-1.154804875590747,0.2554832595838542,0.43187986518743776,0.07948285718645694,-0.9285404821868248,0.1063042275680028
5,COAHUILA,32,SAN JUAN DE SABINAS,2.080982957490386,-0.5418825153633466,0.20563326067265478,-0.09450205605040837,0.27002141588934453,-0.24053871275284303,-0.27315293404350954
5,COAHUILA,22,NAVA,0.6757255968536264,-0.19066947511119436,-0.5441373137540665,-0.42031227026201057,0.27682117654005783,-0.1416007180529874,0.05345151520042524
5,COAHUILA,29,SACRAMENTO,1.744859427430902,-1.6204115124606848,0.7051228552796749,0.5232809919079454,0.1781953761247818,-1.1581127671357911,-0.20162479414373347
5,COAHUILA,3,ALLENDE,0.5234280267744602,-0.5339860735512808,-0.024395650968252313,-0.13869766420850083,0.02910038741660532,-1.0781340084943902,0.08461996764224755
5,COAHUILA,10,FRONTERA,-0.42190231296270186,0.3852237682975263,-0.35354980248945256,-1.0089688033872655,0.21179086537766295,-0.5520066143576534,0.1999894066140119
5,COAHUILA,37,VILLA UNION,0.324411846352822,-0.21914490350792099,-0.6425279195621076,-0.3714437576970617,0.08562137574873044,-0.3520382992675993,-0.011480387413673557
5,COAHUILA,21,NADADORES,-0.4192657909973994,-0.49061641469942074,-0.3157869261035354,-0.10659081164525507,-0.1030002816159163,-1.4379456398243295,0.18969804201910226
