EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,TCE_municipal
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,-0.9953308725890464,0.7455331268956891,-1.3896329042993083,0.43464946569793605,0.1056386738486334,-0.2595024494493082,-0.19624028704968088,G3
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,-3.3189025992577057,-0.6199868956836041,0.7238976970947467,0.19399490938176425,-0.9693110048609878,-0.6518173042944477,-1.0348568829121139,G0
1,AGUASCALIENTES,9,TEPEZALA,-2.757467715076769,0.08145643694226097,-0.9081526150208542,1.115721619046519,-0.5581793690151884,-0.004695928158667245,-0.7059794108727734,G0
1,AGUASCALIENTES,11,EL LLANO,-2.523745379622404,0.2608101913494259,-0.7385361475701879,0.676100810063594,-0.3838892802002424,-0.04841228170206699,-0.12621695077402778,G0
1,AGUASCALIENTES,2,ASIENTOS,-2.4902472086144325,0.4537462361466476,-0.4506924448253808,1.5078638833443312,-0.4962840769794546,-0.20770017443952088,-0.4974062371243727,G0
1,AGUASCALIENTES,3,CALVILLO,-2.4420646645481887,0.9093253416772358,0.17543209692810546,1.0181083634035868,-0.6278040045100496,-0.4207701562751789,-0.09969689865238424,G0
1,AGUASCALIENTES,4,COSIO,-2.7684722034213416,-0.210834357050642,-1.089390437984116,0.9406836402819592,-0.3820638158408916,-0.07927575142018181,-0.4219501061059311,G0
1,AGUASCALIENTES,5,JESUS MARIA,-2.470963243593809,0.9569123525051828,-1.107299696966462,1.2455983891377045,-0.34073217352524543,-0.6381619037685673,-0.7493788438936648,G0
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,-2.9311565549154377,0.7303714319720459,-1.3663784221104809,0.9084670016980841,-0.3407181523235378,-0.14550333104386032,-0.6247108653245648,G0
1,AGUASCALIENTES,7,RINCON DE ROMOS,-2.891218810377066,0.6125485729100453,-1.1323413781986704,1.2111067779306943,-0.5669842526883319,-0.28997889373042984,-0.6804172990734122,G0
1,AGUASCALIENTES,1,AGUASCALIENTES,-2.515369411763144,1.8912318028932664,-1.2961788654587056,2.078733672939859,-0.2625913550636515,-1.2521388003979734,-0.4855103257839602,G0
2,BAJA CALIFORNIA,2,MEXICALI,-2.2112681974951625,3.0739232217300048,0.6464185683647622,3.2045372892806028,-0.5097281773389482,0.11643225213496836,-0.6043950308500058,G1
