EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34916.0,3566.0245471072835,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-0.9953308725890464,0.7455331268956891,-1.3896329042993083,0.4346494656979361,0.1056386738486334,-0.2595024494493082,-0.19624028704968088,G3,Tipica
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,2,97428.0,2955.130305163687,0.9873434077973392,0.008070440459808172,0.01611011517544305,0.015825238661997455,0.3794590059922927,-2.1072582924882743,0.34638179899456906,-1.1837321271235828,1.8291914604719768,-0.4124713707174655,-0.9986491382541244,-0.4689276789094813,G0,Tipica
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,5.033360150135659,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.3551605384457677,0.5556249232497588,2.045067358089317,-0.06639362434155957,-0.056635902678679524,-0.9588649512556318,-0.010823255931129606,G1,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565195,0.9836395518980964,0.06295393167099295,0.018420989531087083,0.021808906779042285,0.9816308130030696,0.4957750871504951,1.1228345843822256,-0.5219279178189415,0.7121219538287182,0.7865225185008641,0.21490919222997049,0.006226653043038486,G3,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9057.0,3.835068732957009,0.9811563477989198,0.1505144163597104,0.04116508829665344,0.045413285695659916,0.993208963819942,3.611720707661382,-0.5593792427624934,1.9063767872590889,-0.14664466990034006,-1.314150844410774,-0.36721311667730266,-0.6748126512668099,G2,Tipica
6,COLIMA,2,COMALA,6,16735.0,197.4919628117636,0.9879990384194118,0.09236292428198434,0.02758756222966049,0.03211175419959921,0.9938539150404928,1.3444668468306462,0.3740519704343032,-0.2232934820514509,-0.4012086489471812,-0.6029520643270078,-0.24901842864487084,-0.14625128773929005,G3,Tipica
7,CHIAPAS,67,PANTEPEC,4,7905.0,334.80447406072295,0.9643008420744986,0.09624185272500346,0.03711873827902826,0.04441466866660288,0.9213777559392248,3.0251282407487583,-2.160685785820577,0.28019697954741,2.0715997963802333,1.179104126880944,-0.30460114274052186,0.2008563480019472,G2,Tipica
8,CHIHUAHUA,66,URUACHI,10,4526.0,2.4906621740087656,0.9460173382604119,0.2395947426067908,0.07294092835183792,0.0849491988094082,0.9674713377739214,8.83562830475631,-4.5204935014410115,2.723452146210965,3.409692776821524,-0.04755256543221032,-0.8250961617233002,-0.8377285041903368,G2,Atípica en ICE principal
9,CIUDAD DE MEXICO,12,TLALPAN,1,542014.0,5775.165640809182,0.9882430233076559,0.05701687669907835,0.01878894024879596,0.02245121725900121,0.9925590087293306,0.26983480800702503,1.9892124175398083,-1.9036340901579685,0.7146340157887178,0.4399119615580468,-1.3422334996323575,0.14415953758459282,G3,Tipica
10,DURANGO,2,CANELAS,13,3052.0,3.307285241373589,0.9738726558470044,-0.039345294302801384,0.03591160663048472,0.042358513468408916,0.6632954509626512,-0.2994170608990113,-2.298735538095891,2.7033752692655657,1.6092805023438916,-0.5688336093006787,-0.5496793153437672,2.1820887023419,G0,Atípica en tercer ICE
