EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34917.0,3566.0245471072844,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.1597093393219617,-0.08892566875798175,0.08530000400685704,G1,Tipica
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,4,6914.0,2133.223462636952,0.991803408929023,0.00028935185185185184,0.008344741284002366,0.008887311775021608,0.23706138459991455,-3.4401134861962426,-1.2850882949878077,0.728495739393374,G2,Tipica
1,AGUASCALIENTES,9,TEPEZALA,6,15545.0,2478.6754124935565,0.9906353256276796,0.0051079787921893185,0.011777095770194292,0.011920564133364566,0.3445667085761423,-2.7814181739241826,-1.0214499690595513,0.7186911646834074,G2,Tipica
1,AGUASCALIENTES,11,EL LLANO,6,15067.0,1505.7495519103898,0.9910163386198628,-0.003373462098161132,0.012239282940131513,0.014231600764823325,0.5040196044462911,-2.534965391681482,-0.8304430309440921,0.2896422970173115,G2,Tipica
1,AGUASCALIENTES,2,ASIENTOS,11,34222.0,1484.7225508819738,0.9890798721132029,0.0018736459980092512,0.013432340094443608,0.01539656625007232,0.3747379431890598,-2.4312211289693844,-0.9164194864090821,0.7611965074117206,G2,Tipica
1,AGUASCALIENTES,3,CALVILLO,14,46424.0,2335.045130788976,0.9911496521656052,-0.006144163045107147,0.013265537498513787,0.015719269115306998,0.4840590687888893,-2.4881305757620176,-0.35019103332278145,0.6162782571925491,G2,Tipica
1,AGUASCALIENTES,4,COSIO,2,11623.0,2695.941455231325,0.989895850669894,-0.0024888431170614488,0.011839799128126927,0.013460547546758982,0.3906463975183835,-2.6641466469198396,-1.2012143904133958,0.759538466701757,G2,Tipica
1,AGUASCALIENTES,5,JESUS MARIA,6,82404.0,2980.720064332236,0.9911337159774044,0.01308089500860585,0.010581266983160259,0.01135704992385827,0.4227145205528665,-2.7226350737504172,-0.4105860341702709,0.7802813731799797,G2,Tipica
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,5,31272.0,5176.676672362271,0.9928562557461952,0.002339818583928972,0.008622428397604213,0.009360989005979634,0.4213822732953025,-3.146302839522319,-0.40565364541203675,0.8222538257891215,G2,Tipica
1,AGUASCALIENTES,7,RINCON DE ROMOS,6,37605.0,3496.198849540612,0.99207913197021,0.0019183118855407239,0.0107081049122981,0.01216676373822124,0.35549146383704544,-2.9336647012369355,-0.7284028003536576,0.8465072765187979,G2,Tipica
