EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_municipal,Atipicidad
8,CHIHUAHUA,66,URUACHI,10,4527.0,71935.16739354767,0.9460173382604119,0.2395947426067908,0.07294092835183792,0.0849491988094082,0.9674713377739214,12.22328947062601,3.737240143238124,13.266936540273118,G3,Atipica en CP1
20,OAXACA,329,SAN PEDRO TIDAA,0,649.0,148.05627386916083,0.969378090762532,0.275049115913556,0.07715658403748589,0.08083083458482006,0.8034355385892199,10.542495494866943,-1.8334852740875456,0.7784011494643747,G3,Atipica en CP1
20,OAXACA,216,SAN JUAN TABAA,0,831.0,1138.0404891004407,0.9359017392939138,0.18376068376068372,0.0652571465186389,0.07297856756600672,0.9015135624391374,10.066521856212354,-3.856383870605157,3.3318822755467683,G3,Atipica en CP1
14,JALISCO,63,MEZQUITIC,6,13993.0,3166.858600823997,0.9731963731804464,0.19782571477486727,0.05985667187392672,0.07113305524112055,0.9900740450572226,7.961590487709365,-0.7488848813774539,0.7641426727464012,G3,Tipica
19,NUEVO LEON,10,CARMEN,1,28495.0,2675.641051642275,0.9819182778419394,0.2018642709519592,0.05965584595907386,0.07124600965955895,0.9965696775831744,7.568605078127643,-0.3785818009310609,0.11241842501431784,G3,Tipica
20,OAXACA,489,SANTIAGO TEPETLAPA,0,88.0,225.01055414561162,0.9658764367816092,0.011494252873563218,0.09816918156232524,0.07233977375504214,0.04849363767216836,7.153552583850794,-5.432591384719556,4.567985124597118,G3,Atipica en CP2
8,CHIHUAHUA,9,BOCOYNA,11,20100.0,2377.196976573451,0.9649635941090252,0.1696927374301676,0.05294836241563152,0.062060483718163015,0.9841605603119268,7.035109306197612,-1.066890949088264,1.2149597740299598,G3,Tipica
20,OAXACA,396,SANTA MAGDALENA JICOTLAN,0,61.0,37.30574572539971,0.9729842488282836,0.03389830508474576,0.07351323178545474,0.08270288818681555,0.7075913803047716,7.007875415839536,-3.2491096245577338,2.247368353203585,G3,Tipica
31,YUCATAN,45,KOPOMA,1,1983.0,984.759958180229,0.9766569236281052,0.19027611044417767,0.05750287656901482,0.06162246412047059,0.9573631268841044,6.944986342857293,-0.992838972467694,0.12822708029470442,G3,Tipica
8,CHIHUAHUA,41,MAGUARICHI,4,1179.0,10214.519198292795,0.952501200540676,0.12607449856733524,0.05019565378122036,0.05535259159671917,0.8925341268776819,6.5583638288255335,-1.8595164995123892,3.5629246318050782,G3,Tipica
