EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,TCE_seccional,Atipicidad
1,AGUASCALIENTES,1,AGUASCALIENTES,2,594,U,4134.0,3320.5512618880352,0.9805975340181,0.2607502287282708,0.0930190638774173,0.10224169366668176,0.9769247470295572,8.000549291575085,-0.3352191075690776,-0.7214385457868994,1.2214664452775263,3.966953638314864,0.1471560125624118,G3,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,8,1869,R,1701.0,13346.93177225025,0.9767127778472252,0.2789473684210526,0.09933685289408986,0.10785484438291333,0.96822308899179,8.582919309279314,-1.169876538790511,1.2366147043157285,1.158550463750082,4.0422613727728525,0.18760385367346025,G3,Atípica en ICE principal
3,BAJA CALIFORNIA SUR,2,MULEGE,1,105,R,154.0,20.878524945770067,0.9537561754263932,0.26229508196721313,0.06623643488384963,0.07233352282535818,0.9550773806643192,8.443074908458058,-3.68895329565192,1.842669121435152,2.220025165594154,-1.1559457895217191,0.9711087068147932,G3,Atípica en ICE principal
4,CAMPECHE,10,CANDELARIA,2,295,R,1611.0,1822.5241194521946,0.9706684331655162,0.21860816944024208,0.08586376912560538,0.09890430846738868,0.9520985299253129,7.627921388060204,-2.1631357076973483,0.6922871196476065,1.3942034496288231,2.1899339758448293,-0.3801948113116483,G3,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,232.0,1879.728291433204,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,19.760429807104085,-6.806976701883756,3.853788181331223,5.197898417460238,-0.2269139758049221,3.5454548358058475,G3,Atípica en ICE principal
6,COLIMA,8,MANZANILLO,2,224,R,370.0,736.3222690729933,0.9749486470576804,0.14906832298136646,0.05216299727751537,0.05483945706422418,0.8989415731981629,4.314767751997136,-1.8966759596854463,0.8494843949588907,0.4801516149181825,0.4606879299541166,0.015060296093231413,G3,Atípica en ICE principal
7,CHIAPAS,81,SILTEPEC,13,1192,R,1093.0,28.913814083910903,0.9495932812821332,0.36625,0.08934701773464397,0.08193873915846091,0.9339430781616777,11.48132035269465,-3.937951004372467,1.755558842922896,2.881853826755299,0.07548672253541595,1.7871413228005446,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2696,R,26.0,0.07116619496252828,0.8931924556924558,1.0,0.1852646826010492,0.20051413975210755,0.9476169611745904,29.797316096309515,-9.17682455186784,5.544357229114408,6.999564266770633,0.44951433977414296,7.948613517608362,G3,Atípica en ICE principal
9,CIUDAD DE MEXICO,7,IZTAPALAPA,19,2509,U,1598.0,12471.083261002219,0.9810726230450856,0.18722139673105492,0.057282976343055264,0.06766086915720007,0.9920822423205145,4.742127201185477,-0.2398726173763191,0.7681233120940649,0.53356066753752,1.6131651685209418,0.3916044795004219,G3,Atípica en ICE principal
10,DURANGO,20,OTAEZ,1,956,R,156.0,1.1906488272872289,0.9364377474723397,0.17293233082706766,0.07951318548936816,0.08439284855429158,0.4452703868161486,8.508125698126639,-7.158960982766754,1.9866265087089927,5.377581450110887,-1.6437260482529823,-0.3615974174606601,G3,Atípica en ICE principal
11,GUANAJUATO,20,LEON,6,1508,R,5348.0,6138.237838009977,0.9780399436641236,0.28991799324650264,0.08038978648354418,0.09444314230419257,0.9976923386368038,8.023171309709237,0.3274365309180448,-1.1361519304355014,1.8073200282019948,2.8899278065801735,1.1256107405829103,G3,Atípica en ICE principal
12,GUERRERO,28,CHILAPA DE ALVAREZ,6,1193,R,270.0,24.291497975708502,0.9164263775812606,0.2,0.12101146248437455,0.11644695512763815,0.7345010131607349,13.319977359944792,-8.965578578636949,2.912986197290853,7.2775566486221575,-1.889838586249188,-2.558004005244896,G3,Atípica en ICE principal
13,HIDALGO,68,TIZAYUCA,6,1768,R,2155.0,1431.8201501858282,0.97395576244054,0.2565597667638484,0.0691653077249003,0.08157056100080624,0.9978756352777548,7.0814375048894584,-1.1192398262275105,0.3019340948140327,0.8713962037255596,1.4889519912867024,0.9527137671909456,G3,Atípica en ICE principal
14,JALISCO,78,SAN MARTIN DE BOLAÐOS,1,2114,R,87.0,1.882872354239709,0.9641166396939992,0.4262295081967213,0.12414479151007875,0.13219513934586638,0.9657508670324876,12.948317014396055,-3.337919380838108,2.143810598603914,1.0244580011236195,4.179680013863926,1.4967904134819991,G3,Atípica en ICE principal
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666475,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,47.7232356445973,-5.694700949149826,6.912508170760442,1.5703460237425324,15.697052638380752,18.559173073413433,G3,Atípica en ICE principal
16,MICHOACAN,53,MARCOS CASTELLANOS,4,940,R,135.0,695.8839362090307,0.9423774826105574,0.3636363636363637,0.12117331894017278,0.1254347193885451,0.9035212026879944,13.641065058849087,-5.607591917916476,2.6344329970482163,3.6574584735805806,1.3117063693520767,0.3382565140601778,G3,Atípica en ICE principal
17,MORELOS,2,ATLATLAHUCAN,5,20,M,500.0,340.01124045879925,0.9797227168243152,0.14416475972540047,0.042736733893950316,0.051375109301735215,0.9832894014009904,3.50311593615306,-1.0428700469407066,0.611884736790671,-0.20591591098023,0.2666604552223767,0.2264236990500555,G3,Tipica
18,NAYARIT,6,HUAJICORI,1,203,R,786.0,2.2908305572314176,0.9336230483995164,0.2,0.06261388978273927,0.06878280185460463,0.93479482460899,9.102631592780037,-5.532260505006223,1.9635403399051843,4.789245887381055,-3.9461230901713993,-0.22061835385588344,G3,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,1078.0,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,26.91226686246301,-3.3890724502658585,3.430502850522258,0.8475898539669321,10.684608568335065,7.735245999510457,G3,Atípica en ICE principal
20,OAXACA,64,NEJAPA DE MADERO,5,467,R,247.0,2.2575220268343505,0.9486215728433012,0.5060975609756098,0.15350496546486322,0.13648666883268784,0.7105975373920039,16.465283795552658,-5.681197098186692,2.660697773499072,3.1434942583920438,4.7983976976240434,1.9432537135123111,G3,Atípica en ICE principal
