EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_seccional,Atipicidad
1,AGUASCALIENTES,1,AGUASCALIENTES,2,594,U,4134.0,3320.5512618880352,0.9805975340181,0.2607502287282708,0.0930190638774173,0.10224169366668176,0.9769247470295572,10.733095657693061,-0.07984522742484518,-0.6609024392212355,1.3681924611926053,3.4133346657127026,1.3195886237680756,0.1185835693213509,G1,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,8,1869,R,1701.0,13346.93177225025,0.9767127778472252,0.2789473684210526,0.09933685289408986,0.10785484438291333,0.96822308899179,11.561797116700196,-0.8939516574509008,1.2704765541984235,1.219073177780178,3.3004254711475647,1.4096468321262192,0.1738759215973106,G1,Atípica en ICE principal
3,BAJA CALIFORNIA SUR,2,MULEGE,1,105,R,154.0,20.878524945770067,0.9537561754263932,0.26229508196721313,0.06623643488384963,0.07233352282535818,0.9550773806643192,9.615512714042914,-2.8357400901873437,1.6388472483501235,1.7171826986635197,-2.7820880209711034,0.8241695440046753,0.04080031709493539,G1,Atípica en ICE principal
4,CAMPECHE,10,CANDELARIA,2,295,R,1611.0,1822.5241194521946,0.9706684331655162,0.21860816944024208,0.08586376912560538,0.09890430846738868,0.9520985299253129,10.305387122779438,-1.8563537577551088,0.6841541732655644,1.3652940948290138,1.7661677665540358,0.28743576635240803,-0.2045896530697697,G1,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,232.0,1879.728291433204,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,23.20916788850841,-5.068189505354192,3.5017092868657134,4.279967053530888,-3.959431943544221,3.726679855558498,-0.34685211287164386,G1,Atípica en ICE principal
6,COLIMA,1,COLIMA,1,78,M,220.0,425.9528353887378,0.9873445937581,0.2021857923497268,0.055001742174718274,0.06380668146406021,0.9682875070038216,5.639639182409217,-0.3285843097194044,0.6647121082958607,-1.1474527866440234,1.7085350024170065,1.4395570552595731,-0.12509319030508687,G1,Atípica en ICE principal
7,CHIAPAS,81,SILTEPEC,13,1192,R,1093.0,28.913814083910903,0.9495932812821332,0.36625,0.08934701773464397,0.08193873915846091,0.9339430781616777,12.692427151145846,-2.7596324341627594,1.5051615563529441,2.276943045437652,-2.662817261508674,2.188392685550521,1.019630298231755,G1,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2687,R,299.0,1.5952281869884863,0.9013366096046316,0.7085714285714285,0.24006934115202802,0.23188896743723056,0.8941850524172262,34.60144997472353,-8.588414036404613,4.560737616155783,6.951210850247412,-0.04064816651927442,2.8187347184613216,1.9384061765155602,G1,Atípica en ICE principal
9,CIUDAD DE MEXICO,7,IZTAPALAPA,19,2509,U,1598.0,12471.083261002219,0.9810726230450856,0.18722139673105492,0.057282976343055264,0.06766086915720007,0.9920822423205145,6.215223034731317,-0.043940553290241054,0.7744430290678848,0.5352852226476223,1.2434510952986932,0.8376306834987179,-0.2043880887262,G1,Atípica en ICE principal
10,DURANGO,24,PUEBLO NUEVO,1,1062,R,117.0,0.6560355268469923,0.942716765036178,-0.19310344827586207,0.14524895032664248,0.14640540151765602,0.7629979375610791,12.990360215380454,-8.738502315435342,1.828093259751841,6.160551944187526,4.384151329155683,-9.055552509582594,0.9194002008456188,G1,Atípica en ICE principal
11,GUANAJUATO,20,LEON,6,1508,R,5348.0,6138.237838009977,0.9780399436641236,0.28991799324650264,0.08038978648354418,0.09444314230419257,0.9976923386368038,10.254528814523287,0.7059639426393287,-1.0961283118192249,1.874690138150012,2.0946950148546915,1.9233788646296408,-0.2673619116002817,G1,Atípica en ICE principal
12,GUERRERO,28,CHILAPA DE ALVAREZ,6,1193,R,270.0,24.291497975708502,0.9164263775812606,0.2,0.12101146248437455,0.11644695512763815,0.7345010131607349,16.274156509955663,-7.847185403622974,2.6734219078266213,6.500537436289138,-3.7907577155857335,-2.5155726625720973,0.9855880180218404,G1,Atípica en ICE principal
13,HIDALGO,68,TIZAYUCA,6,1769,R,2506.0,1980.1202422723104,0.9782985860136972,0.2586639879457559,0.07372139795314604,0.08684673267670355,0.9961839053426964,9.084779025268649,-0.33365974371750656,0.033359354623225215,0.6069015563945704,1.6791730051869007,1.5111639961556105,-0.271420088455577,G1,Atípica en ICE principal
14,JALISCO,78,SAN MARTIN DE BOLAÐOS,1,2114,R,87.0,1.882872354239709,0.9641166396939992,0.4262295081967213,0.12414479151007875,0.13219513934586638,0.9657508670324876,16.490671259216118,-2.5950652451795992,2.0415051666157167,0.8365685537595597,2.329928543301956,2.839898872157357,0.3119022781335162,G1,Atípica en ICE principal
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666475,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,55.567455128398606,-1.887213897626944,6.286630258430878,0.4096759532157296,3.819609203772288,23.456072259495784,1.8477574983492189,G1,Atípica en ICE principal
16,MICHOACAN,53,MARCOS CASTELLANOS,4,940,R,135.0,695.8839362090307,0.9423774826105574,0.3636363636363637,0.12117331894017278,0.1254347193885451,0.9035212026879944,16.80433533644835,-4.606518405237453,2.448750249911979,3.1632887417982016,-0.7836007939691282,1.0289942416529123,0.4854174167430741,G1,Atípica en ICE principal
17,MORELOS,2,ATLATLAHUCAN,5,20,M,500.0,340.01124045879925,0.9797227168243152,0.14416475972540047,0.042736733893950316,0.051375109301735215,0.9832894014009904,4.368218188196765,-0.7898324957569518,0.5525661105855196,-0.3012792226270269,-0.043574737993199865,0.30910826815838865,-0.20012397401161555,G1,Tipica
18,NAYARIT,6,HUAJICORI,1,203,R,786.0,2.2908305572314176,0.9336230483995164,0.2,0.06261388978273927,0.06878280185460463,0.93479482460899,10.027194915576835,-4.464233005660129,1.6979845332085488,4.031882465736404,-5.619963453174694,-1.0498480926555012,-0.016612840098865142,G1,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,1078.0,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,33.33282931327156,-1.7348858432630732,3.2379312017749178,0.5529405569950855,5.602715261473043,10.894212914561956,0.4195227011986292,G1,Atípica en ICE principal
20,OAXACA,64,NEJAPA DE MADERO,5,467,R,247.0,2.2575220268343505,0.9486215728433012,0.5060975609756098,0.15350496546486322,0.13648666883268784,0.7105975373920039,19.853366767360413,-4.461555728623209,2.453007261526251,2.667125571333125,1.2454614408061917,3.8524290398070895,1.994070079229517,G1,Atípica en ICE principal
21,PUEBLA,115,PUEBLA,11,1492,U,182.0,50.68829269194625,0.9800275471649238,0.1973684210526316,0.07097833370013913,0.08024059907808027,0.9542350574047498,7.70270362801416,-1.3756537999908995,0.9458357297963674,-0.24790842641057284,1.9283700777956398,0.6907021669746409,-0.05979179390261016,G1,Atípica en ICE principal
22,QUERETARO,14,QUERETARO,3,754,U,10567.0,6995.461231284602,0.9762691260325459,0.2536481195871396,0.07048765689256296,0.08335002069645372,0.9989113832567684,9.222226259853693,2.341961931709831,-3.782413790303263,4.1190332772923535,1.3095760114075872,1.455314728220535,-0.2181536131059428,G1,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193221,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,23.16742391823075,-3.0148022518598836,2.0371035483562325,1.4404441398875063,6.391854920334125,3.557835925996052,1.653923702020854,G1,Atípica en ICE principal
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,2,1199,R,93.0,2.3174682282581607,0.9525704857731238,0.2916666666666667,0.07653567532557562,0.08941431623291772,0.9842641483661844,11.39050135433476,-3.023048917263503,1.84077367021025,1.7988241512718133,-2.11424186977284,0.9042723546021968,-0.31432761481900473,G1,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,119.0,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,37.25787122428334,-3.8027067560258163,3.632434070850706,0.6340507318468427,12.879966994497284,8.539471786061101,6.347659511659992,G1,Atípica en ICE principal
26,SONORA,8,BACANORA,4,50,R,41.0,0.3976143141153082,0.9496114972366576,0.5185185185185185,0.13413738405988154,0.14830847555919288,0.9464632768581162,19.745906816513287,-3.5431877321343017,2.6130549717839537,1.918882167948668,0.6900701878835197,3.5864492332520475,-0.048987224723792605,G1,Atípica en ICE principal
27,TABASCO,8,HUIMANGUILLO,2,715,R,154.0,0.987540319219202,0.9627759777167636,0.18461538461538465,0.054514649306553725,0.057163446599033774,0.8967889608359728,6.755954714797888,-2.435952491214349,1.2009296134381422,1.1772424978046407,-1.9784033315186118,0.29480938298252185,0.19749137218957472,G1,Atípica en ICE principal
28,TAMAULIPAS,32,REYNOSA,9,1772,U,1970.0,4708.005901181888,0.9752928481582122,0.5235885537509667,0.16637854353488274,0.17040520789829774,0.9833846535622208,20.827510999993297,-1.4105556820100231,1.4765893866238191,0.8753962997756163,6.586757297657338,4.150743958004196,0.8762501188369086,G1,Atípica en ICE principal
