EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_seccional,Atipicidad
1,AGUASCALIENTES,1,AGUASCALIENTES,2,594,U,4133.999999999998,3320.551261888041,0.9805975340181,0.2607502287282708,0.0930190638774173,0.10224169366668176,0.9769247470295572,10.422908835220332,-1.6577959034868242,1.5395055462399558,3.489775876136,-1.3149706876681202,1.487998168487067,0.1372437376837413,G3,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,8,1869,R,1701.0000000000014,13346.931772250236,0.9767127778472252,0.2789473684210526,0.09933685289408986,0.10785484438291333,0.96822308899179,11.407621637643896,-1.2151172831423616,1.875920061461656,3.680839796179312,-0.017884149310692262,1.6083277031849124,0.20182404842374,G3,Atípica en ICE principal
3,BAJA CALIFORNIA SUR,2,MULEGE,1,105,R,154.00000000000006,20.878524945770067,0.9537561754263932,0.26229508196721313,0.06623643488384963,0.07233352282535818,0.9550773806643192,10.051316453519606,2.7556461438839905,2.0642218536785357,-2.4872646894183617,1.8206612854194728,0.7472638236136843,0.028580128364153006,G3,Atípica en ICE principal
4,CAMPECHE,10,CANDELARIA,2,295,R,1610.9999999999995,1822.5241194521939,0.9706684331655162,0.21860816944024208,0.08586376912560538,0.09890430846738868,0.9520985299253129,10.225530604489483,-0.2454085307434811,2.4350172848609386,2.1234038412870766,-0.19355903195948426,0.45343679132967607,-0.1834353825317953,G3,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,231.99999999999997,1879.7282914332043,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,23.281878433180786,1.331197103297832,6.619113105030586,-2.4273029200983363,4.1437820638595015,4.0013337042551385,-0.3301537353266429,G3,Atípica en ICE principal
6,COLIMA,1,COLIMA,1,78,M,220.00000000000028,425.9528353887384,0.9873445937581,0.2021857923497268,0.055001742174718274,0.06380668146406021,0.9682875070038216,5.784056039755003,0.7687761165609964,-1.375933372000271,1.7469121629815891,0.6639845850622296,1.4517917461450969,-0.13078299119618492,G3,Tipica
7,CHIAPAS,81,SILTEPEC,13,1192,R,1093.0000000000005,28.9138140839109,0.9495932812821332,0.36625,0.08934701773464397,0.08193873915846091,0.9339430781616777,12.963119175496447,1.0496218801603363,3.3530661536094666,-2.5049888362581383,0.4095255498529638,2.148662169604824,1.0349471092927836,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2687,R,299.0000000000004,1.5952281869884863,0.9013366096046316,0.7085714285714285,0.24006934115202802,0.23188896743723056,0.8941850524172262,35.23830219809628,4.094115016937904,9.393203283448312,0.9319419314503462,1.7548129736330618,2.9789275728176268,1.9767147940382248,G3,Atípica en ICE principal
9,CIUDAD DE MEXICO,7,IZTAPALAPA,19,2509,U,1598.0,12471.08326100224,0.9810726230450856,0.18722139673105492,0.057282976343055264,0.06766086915720007,0.9920822423205145,6.065382644503745,-1.261869542660904,0.9528831758542882,1.5123736741893017,0.1980566777850251,0.9560693422430906,-0.1880913553212896,G3,Tipica
10,DURANGO,24,PUEBLO NUEVO,1,1062,R,117.00000000000003,0.6560355268469923,0.942716765036178,-0.19310344827586207,0.14524895032664248,0.14640540151765602,0.7629979375610791,13.868249736643493,7.631153361692044,7.193017540033263,4.76867630564875,-0.3916316882489624,-9.01078862821324,0.9144527933169012,G3,Atípica en ICE principal
11,GUANAJUATO,20,LEON,6,1508,R,5348.000000000002,6138.237838009978,0.9780399436641236,0.28991799324650264,0.08038978648354418,0.09444314230419257,0.9976923386368038,9.839928393962476,-2.2046625585839448,1.6654508965502801,2.1993156974625445,-1.0194362578814902,2.074730484642644,-0.2561938099239061,G3,Atípica en ICE principal
