EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,TCE_seccional,Atipicidad
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666475,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,47.7232356445973,-5.694700949149826,6.912508170760442,1.5703460237425324,15.697052638380752,18.559173073413433,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2696,R,26.0,0.07116619496252828,0.8931924556924558,1.0,0.1852646826010492,0.20051413975210755,0.9476169611745904,29.797316096309515,-9.17682455186784,5.544357229114408,6.999564266770633,0.44951433977414296,7.948613517608362,G3,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,119.0,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,29.70401248575325,-5.3305456448149915,3.72924448699452,0.6205252912951461,18.809584407147806,1.9530603111451144,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2687,R,299.0,1.5952281869884863,0.9013366096046316,0.7085714285714285,0.24006934115202802,0.23188896743723056,0.8941850524172262,28.151942809102998,-10.589873986841393,4.885660531909204,7.851807635179838,4.630007252382836,0.7147669930136568,G3,Atípica en ICE principal
8,CHIHUAHUA,9,BOCOYNA,7,147,R,697.0,4.13037037037037,0.8888976030159236,0.7167487684729064,0.195246912640648,0.20889910667520767,0.9694463020199086,27.012914300463944,-10.48025481999714,4.8812990473262206,8.744838570917327,0.04139695274937244,2.4400305284346144,G3,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,1078.0,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,26.91226686246301,-3.3890724502658585,3.430502850522258,0.8475898539669321,10.684608568335065,7.735245999510457,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2695,R,327.0,2.3151917644310083,0.908692339531898,0.5352112676056338,0.19439920852649167,0.19291481435595245,0.9061632001992576,22.755839190937643,-9.548780214910341,4.138795227691278,7.274305146913672,2.2260434421537365,-0.2884655220988126,G3,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,232.0,1879.728291433204,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,19.760429807104085,-6.806976701883756,3.853788181331223,5.197898417460238,-0.2269139758049221,3.5454548358058475,G3,Atípica en ICE principal
19,NUEVO LEON,21,GRAL. ESCOBEDO,2,2737,U,26.0,3448.118547376618,0.9813480392156864,0.7333333333333333,0.17724578947751554,0.19353577126746466,0.9742785792574934,18.492556090918512,-1.6393433838516691,2.6449046164001384,-1.2857886343355898,10.350564147162343,4.855800641258103,G3,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193221,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,17.750934228494483,-3.8017735108719535,2.0664187866732107,1.4362603274588246,8.777240396423284,0.6671775447476472,G3,Atípica en ICE principal
