EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_seccional,Atipicidad
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666475,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,55.567455128398606,-1.887213897626944,6.286630258430878,0.4096759532157296,3.819609203772288,23.456072259495784,1.8477574983492189,G1,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,119.0,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,37.25787122428334,-3.8027067560258163,3.632434070850706,0.6340507318468427,12.879966994497284,8.539471786061101,6.347659511659992,G1,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2687,R,299.0,1.5952281869884863,0.9013366096046316,0.7085714285714285,0.24006934115202802,0.23188896743723056,0.8941850524172262,34.60144997472353,-8.588414036404613,4.560737616155783,6.951210850247412,-0.04064816651927442,2.8187347184613216,1.9384061765155602,G1,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2696,R,26.0,0.07116619496252828,0.8931924556924558,1.0,0.1852646826010492,0.20051413975210755,0.9476169611745904,33.9486453606491,-6.344728994303107,4.959141544532883,5.543024606775408,-6.365402095101969,8.48542838119406,0.04025204985901593,G1,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,1078.0,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,33.33282931327156,-1.7348858432630732,3.2379312017749178,0.5529405569950855,5.602715261473043,10.894212914561956,0.4195227011986292,G1,Atípica en ICE principal
8,CHIHUAHUA,9,BOCOYNA,7,147,R,697.0,4.13037037037037,0.8888976030159236,0.7167487684729064,0.195246912640648,0.20889910667520767,0.9694463020199086,32.245311789410856,-8.229038288183043,4.453206522471034,7.544423189197109,-4.661214608849189,2.978152784100164,0.2570288659324519,G1,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2695,R,327.0,2.3151917644310083,0.908692339531898,0.5352112676056338,0.19439920852649167,0.19291481435595245,0.9061632001992576,28.035203004913157,-7.896807641467588,3.854528308382805,6.451912720922111,-1.2638729169167964,0.9817002591863492,1.2529380093239977,G1,Atípica en ICE principal
19,NUEVO LEON,21,GRAL. ESCOBEDO,2,2737,U,26.0,3448.118547376618,0.9813480392156864,0.7333333333333333,0.17724578947751554,0.19353577126746466,0.9742785792574934,24.175927912327147,-0.8585975795172329,2.616310977063536,-1.17339043457917,7.524215510085603,7.775294488823322,0.1467103176019718,G1,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,232.0,1879.728291433204,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,23.20916788850841,-5.068189505354192,3.5017092868657134,4.279967053530888,-3.959431943544221,3.726679855558498,-0.34685211287164386,G1,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193221,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,23.16742391823075,-3.0148022518598836,2.0371035483562325,1.4404441398875063,6.391854920334125,3.557835925996052,1.653923702020854,G1,Atípica en ICE principal
