EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_seccional,Atipicidad
1,AGUASCALIENTES,1,AGUASCALIENTES,2,594,U,4134.0,3320.5512618880352,0.9805975340181,0.2607502287282708,0.0930190638774173,0.10224169366668176,0.9769247470295572,11.878029145788842,-0.9904518088674354,-0.33316063910111865,G2,Atipica en CP1
2,BAJA CALIFORNIA,4,TIJUANA,8,1869,R,1701.0,13346.93177225025,0.9767127778472252,0.2789473684210526,0.09933685289408986,0.10785484438291333,0.96822308899179,12.74994340052685,-1.7251118223081985,1.6643109535216367,G2,Atipica en CP1
3,BAJA CALIFORNIA SUR,4,LOS CABOS,2,394,U,1329.0,1551.833804517289,0.9820317973853576,0.2609108159392789,0.07631813274009917,0.08987786938066754,0.9952544347077652,9.993743145116808,-1.0582749349311251,0.8862829545470049,G2,Atipica en CP1
4,CAMPECHE,10,CANDELARIA,2,295,R,1611.0,1822.5241194521946,0.9706684331655162,0.21860816944024208,0.08586376912560538,0.09890430846738868,0.9520985299253129,11.351782070048367,-2.789608008269592,1.2151433915466578,G2,Atipica en CP1
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,232.0,1879.728291433204,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,25.41454661672737,-7.1524640157290795,5.062423336541733,G2,Atipica en CP1
6,COLIMA,1,COLIMA,1,78,M,220.0,425.9528353887378,0.9873445937581,0.2021857923497268,0.055001742174718274,0.06380668146406021,0.9682875070038216,6.2215881576993395,-0.542611758668057,0.8913093483323211,G2,Atipica en CP1
7,CHIAPAS,47,JITOTOL,2,664,R,1847.0,1781.8060232657026,0.9121927737937661,-0.024815205913410767,0.10622753227420988,0.1046922005369769,0.48670740152794706,13.858560511501265,-11.816597647759556,3.0213122231934033,G2,Atipica en CP1
8,CHIHUAHUA,37,JUAREZ,3,3118,U,1218.0,18615.25176921692,0.913223279803908,0.08459483526268922,0.2900151620596687,0.18112387606059024,-0.03534344585479595,28.65240980051497,-16.694276483008434,5.397995556307415,G2,Atipica en CP1
9,CIUDAD DE MEXICO,7,IZTAPALAPA,19,2509,U,1598.0,12471.083261002219,0.9810726230450856,0.18722139673105492,0.057282976343055264,0.06766086915720007,0.9920822423205145,6.8922946683252295,-0.5173687167427059,0.9801145833192711,G2,Atipica en CP1
10,DURANGO,19,EL ORO,2,945,R,119.0,1847.9788608611057,0.9439594500906932,-0.0916030534351145,0.06312087734098952,0.07387066551100266,0.7702214377508692,6.848956809813697,-7.493893019074001,2.329735942421973,G2,Atipica en CP1
11,GUANAJUATO,20,LEON,6,1508,R,5348.0,6138.237838009977,0.9780399436641236,0.28991799324650264,0.08038978648354418,0.09444314230419257,0.9976923386368038,11.375328603533385,-0.2465553279469881,-0.8028465804297689,G2,Atipica en CP1
12,GUERRERO,75,ZITLALA,6,2764,R,545.0,981.5864751460936,0.8868051685175574,-0.016245487364620937,0.11573211852692344,0.12178834515690652,0.6998377732871613,17.540703846157825,-14.380232576406849,4.917685434422894,G2,Atipica en CP1
13,HIDALGO,68,TIZAYUCA,6,1769,R,2506.0,1980.1202422723104,0.9782985860136972,0.2586639879457559,0.07372139795314604,0.08684673267670355,0.9961839053426964,10.035225457455748,-1.0384550001022306,0.39709795932297,G2,Atipica en CP1
14,JALISCO,69,PUERTO VALLARTA,5,1936,U,10.0,84.02986740801177,0.9708333333333332,0.25,0.1005037815259212,0.105050505050505,0.5881196933129782,12.238231569266153,-4.452213461533901,1.9834814627913653,G2,Atipica en CP1
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666475,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,60.82459332295374,-4.333561341733321,8.530511566732775,G2,Atipica en CP1
